"user_id","pro_id"
"7885","39"
"7885","93"
"7885","348"
"7885","67"
"7885","11"
"7490","214"
"7490","353"
"7490","3"
"7490","12"
"7490","20"
"211814","7"
"7490","22"
"7490","27"
"7490","30"
"7490","31"
"7490","35"
"7490","43"
"7490","54"
"7490","55"
"7490","57"
"7490","59"
"7490","66"
"7490","71"
"7490","72"
"7490","73"
"7490","75"
"7490","78"
"7490","79"
"7490","84"
"7490","98"
"7490","99"
"7490","103"
"7490","105"
"214755","18"
"7490","125"
"7490","126"
"7490","129"
"7490","131"
"7490","133"
"7490","135"
"7490","138"
"7490","139"
"7490","144"
"7490","150"
"7490","155"
"7490","156"
"7897","52"
"204855","51"
"7905","7"
"7905","274"
"7905","272"
"7905","275"
"7905","276"
"7905","277"
"7905","278"
"7911","18"
"7925","117"
"181846","115"
"181846","313"
"7946","135"
"7967","297"
"7977","404"
"7977","238"
"2909","18"
"8001","67"
"8001","360"
"8001","3"
"8001","46"
"8001","5"
"160394","91"
"160394","92"
"8015","12"
"168578","23"
"8018","12"
"8045","25"
"8045","18"
"4580","31"
"4580","139"
"4580","191"
"130427","31"
"118487","9"
"8102","1"
"8105","12"
"173626","1"
"101536","27"
"8109","9"
"8132","518"
"113590","30"
"81505","2"
"7895","92"
"7895","140"
"3857","177"
"176655","1"
"175224","9"
"184384","168"
"8244","2"
"8244","1"
"8244","10"
"8244","9"
"8244","11"
"8244","18"
"8244","20"
"8244","23"
"8244","28"
"8244","35"
"8244","37"
"8244","38"
"8244","41"
"8244","42"
"8244","45"
"8244","46"
"8244","49"
"8244","53"
"8244","148"
"8244","156"
"148832","6"
"148832","22"
"148832","145"
"5677","5"
"5677","10"
"5677","16"
"5677","22"
"121060","201"
"121060","221"
"121060","170"
"201767","30"
"201767","37"
"201767","43"
"2059","32"
"208825","227"
"208825","234"
"208825","39"
"208825","92"
"208825","41"
"210592","173"
"4274","264"
"8321","141"
"8321","126"
"8321","243"
"8324","365"
"8321","325"
"8321","2"
"8321","4"
"8144","243"
"8337","38"
"8337","52"
"210480","27"
"3673","30"
"3673","9"
"8414","6"
"8414","3"
"8414","11"
"8414","18"
"8414","26"
"166212","364"
"8459","6"
"8459","18"
"8459","38"
"8459","5"
"8459","14"
"8459","169"
"8459","31"
"8459","141"
"8459","196"
"8459","16"
"8459","200"
"8459","95"
"8459","191"
"8459","33"
"8459","222"
"8459","146"
"8459","177"
"8459","24"
"8459","320"
"8459","15"
"8459","92"
"5347","6"
"212004","5"
"115411","6"
"8506","6"
"151767","365"
"151767","9"
"189712","365"
"189712","18"
"189712","9"
"189712","246"
"189712","359"
"156998","138"
"156998","141"
"156998","139"
"107894","4"
"139471","234"
"8673","200"
"8673","198"
"8673","204"
"8673","189"
"8673","194"
"8673","330"
"184384","15"
"184384","140"
"184384","141"
"156764","6"
"8694","3"
"8700","6"
"8704","278"
"5677","289"
"8717","5"
"8732","266"
"8732","514"
"8732","269"
"8732","275"
"8740","6"
"8751","141"
"8751","243"
"8751","48"
"213782","79"
"3049","38"
"3049","360"
"8794","191"
"8793","6"
"201472","257"
"201472","342"
"8814","27"
"8833","18"
"7895","67"
"8876","2"
"8876","11"
"8244","109"
"8244","184"
"8244","245"
"8244","267"
"8244","322"
"8244","365"
"8244","311"
"8244","290"
"8244","234"
"8244","219"
"8244","288"
"8244","132"
"176058","1"
"176058","2"
"8967","340"
"8967","392"
"132178","253"
"8975","31"
"4850","365"
"215800","20"
"215800","37"
"215800","116"
"4371","360"
"4371","5"
"9025","330"
"197567","197"
"8982","1"
"8982","9"
"6417","109"
"76900","16"
"133476","23"
"133476","203"
"133476","265"
"133476","352"
"9097","257"
"115394","169"
"160506","365"
"9121","20"
"9121","41"
"9121","42"
"9121","101"
"109754","37"
"9142","20"
"9142","156"
"9142","158"
"9142","45"
"9142","37"
"9142","164"
"9142","163"
"9142","3"
"9142","27"
"9142","46"
"9142","171"
"9142","168"
"9142","172"
"9142","174"
"9166","14"
"9166","18"
"9166","40"
"9166","46"
"103609","67"
"9192","154"
"9192","181"
"9179","9"
"9179","365"
"9179","53"
"9250","286"
"9250","9"
"9250","18"
"9250","290"
"9250","365"
"9250","1"
"9257","6"
"9271","9"
"9271","11"
"9271","18"
"9271","284"
"9271","126"
"9271","139"
"95269","42"
"9285","9"
"183982","365"
"183982","330"
"183982","9"
"183982","94"
"183982","340"
"9307","16"
"9307","31"
"9307","32"
"9307","33"
"9307","43"
"9307","44"
"9307","47"
"9307","48"
"9307","54"
"9307","138"
"9307","141"
"201111","234"
"9377","9"
"7897","323"
"7501","39"
"7501","11"
"7501","10"
"160275","18"
"9410","29"
"9410","49"
"9410","18"
"9410","284"
"3990","196"
"9412","226"
"9429","148"
"9429","109"
"9429","15"
"9429","121"
"9429","29"
"9429","23"
"9434","9"
"9434","48"
"123420","19"
"9448","26"
"2956","26"
"134060","52"
"212379","28"
"212379","29"
"212379","9"
"212379","1"
"212379","330"
"212379","221"
"212379","18"
"9484","165"
"9483","40"
"204093","76"
"216708","255"
"9489","204"
"56360","340"
"9527","26"
"9529","46"
"9527","148"
"9534","9"
"9534","1"
"9562","7"
"9562","39"
"9562","135"
"9562","134"
"9562","160"
"9562","148"
"9562","344"
"9562","317"
"9563","250"
"9563","14"
"9563","67"
"9563","146"
"112229","26"
"9577","6"
"9592","52"
"66","21"
"9592","155"
"9592","9"
"9592","112"
"8536","328"
"9630","196"
"7267","124"
"7267","202"
"7267","97"
"3748","26"
"9649","209"
"9649","186"
"9649","175"
"9649","6"
"9649","173"
"9648","56"
"9663","253"
"9663","136"
"9663","243"
"9663","362"
"9677","6"
"4118","287"
"80973","336"
"163397","200"
"9780","26"
"9780","237"
"155230","27"
"155230","31"
"9780","38"
"9780","5"
"9780","355"
"9780","140"
"9780","36"
"9780","311"
"9780","309"
"9780","239"
"9780","282"
"9780","114"
"9780","128"
"9780","98"
"155230","261"
"9786","18"
"197936","137"
"9800","295"
"9802","26"
"3915","121"
"3748","67"
"9849","362"
"196393","26"
"196393","23"
"196393","109"
"196393","118"
"196393","287"
"3915","234"
"9864","1"
"9864","2"
"3915","88"
"185898","37"
"144804","149"
"9909","6"
"9915","320"
"9915","325"
"47937","35"
"9932","18"
"9935","18"
"9943","200"
"9943","196"
"9948","410"
"9951","281"
"9953","9"
"214103","40"
"41711","22"
"41711","264"
"41711","353"
"8102","65"
"9970","333"
"9973","196"
"7134","264"
"124361","351"
"124361","257"
"124361","148"
"124361","142"
"124361","140"
"124361","141"
"124361","134"
"9635","11"
"10050","329"
"10050","330"
"10050","21"
"10050","23"
"10068","42"
"10072","329"
"10072","318"
"10103","5"
"10103","341"
"10103","353"
"10103","99"
"10103","103"
"10103","102"
"10129","26"
"194501","186"
"10156","310"
"133708","3"
"133708","5"
"133708","142"
"133708","158"
"10181","11"
"10181","284"
"10181","9"
"10192","52"
"10192","235"
"10192","268"
"176912","354"
"10198","245"
"216370","358"
"216370","354"
"3119","274"
"8465","18"
"10206","26"
"10211","18"
"2760","204"
"194003","67"
"194003","218"
"194003","295"
"194003","360"
"10272","40"
"10272","336"
"9371","348"
"10298","348"
"10307","129"
"213422","9"
"213422","26"
"10315","348"
"116218","1"
"116218","2"
"10364","6"
"175238","2"
"7513","5"
"7513","12"
"7513","148"
"7513","30"
"10426","2"
"10491","67"
"10500","425"
"7895","22"
"7895","49"
"7895","217"
"7895","341"
"160506","52"
"5618","16"
"126788","330"
"207431","6"
"10591","109"
"10601","18"
"10618","35"
"10618","22"
"10618","37"
"10618","45"
"10623","26"
"10629","555"
"10671","146"
"10691","146"
"9943","6"
"9943","18"
"9943","38"
"9943","12"
"9943","26"
"10727","18"
"10727","365"
"127163","67"
"127163","304"
"10735","14"
"10743","7"
"10743","18"
"10743","95"
"10743","106"
"10743","354"
"10743","23"
"98290","16"
"98290","24"
"98290","31"
"98290","106"
"98290","109"
"98290","126"
"98290","125"
"98290","135"
"98290","138"
"98290","191"
"171927","365"
"10776","146"
"10776","93"
"10776","222"
"10776","229"
"10776","261"
"10776","344"
"10776","241"
"10776","260"
"10776","138"
"10776","308"
"10776","187"
"10776","212"
"10776","132"
"10776","199"
"10776","181"
"10776","143"
"10776","151"
"10776","53"
"10776","22"
"10776","74"
"10776","238"
"10785","26"
"10785","350"
"10785","86"
"10785","34"
"10785","329"
"10785","235"
"10785","113"
"10785","365"
"10792","196"
"10403","37"
"10908","34"
"10944","26"
"10944","18"
"10987","80"
"10987","253"
"11022","27"
"11030","5"
"11030","11"
"11030","10"
"11030","9"
"11030","27"
"11030","35"
"11030","40"
"11030","53"
"11030","67"
"194540","253"
"194540","344"
"11043","256"
"11053","196"
"11069","283"
"10706","7"
"190668","52"
"184384","147"
"184384","200"
"184384","199"
"184384","203"
"184384","205"
"184384","206"
"184384","207"
"184384","208"
"184384","209"
"184384","210"
"184384","236"
"184384","320"
"207297","6"
"11105","221"
"11105","350"
"11120","183"
"11120","78"
"11120","317"
"11123","9"
"11123","12"
"11123","14"
"11123","16"
"11123","15"
"11123","17"
"11123","18"
"11123","19"
"11123","24"
"11123","27"
"11123","31"
"11123","35"
"11123","36"
"11123","38"
"11123","40"
"11123","67"
"11123","104"
"11123","142"
"11123","189"
"11123","191"
"11123","200"
"11123","199"
"11123","261"
"11123","262"
"11123","264"
"11123","365"
"212379","350"
"212379","201"
"202609","11"
"202609","5"
"202609","22"
"202609","142"
"202609","238"
"2945","34"
"11206","5"
"98431","5"
"11226","18"
"11226","9"
"11231","204"
"210869","5"
"210518","76"
"11294","67"
"11298","8"
"11335","52"
"131566","11"
"204584","1"
"204584","341"
"7061","365"
"11444","20"
"205979","18"
"205979","26"
"205979","38"
"205979","40"
"205979","52"
"205979","51"
"205979","89"
"205979","106"
"205979","104"
"205979","109"
"205979","108"
